customerID,total_returns,total_orders,return_rate,customer_return_behavior
6,9,21,0.42857142857142855,moderately low
9,7,10,0.7,moderately high
11,0,1,0.0,low
13,1,7,0.14285714285714285,low
15,5,10,0.5,moderately high
16,0,5,0.0,low
18,1,1,1.0,high
23,3,15,0.2,low
26,8,14,0.5714285714285714,moderately high
27,4,4,1.0,high
31,3,3,1.0,high
33,8,12,0.6666666666666666,moderately high
34,0,2,0.0,low
40,3,6,0.5,moderately high
45,3,4,0.75,high
46,0,1,0.0,low
48,25,29,0.8620689655172413,high
53,4,6,0.6666666666666666,moderately high
55,9,16,0.5625,moderately high
56,0,1,0.0,low
58,3,3,1.0,high
60,7,14,0.5,moderately high
63,2,3,0.6666666666666666,moderately high
66,15,31,0.4838709677419355,moderately low
68,0,1,0.0,low
69,0,5,0.0,low
71,2,4,0.5,moderately high
72,17,27,0.6296296296296297,moderately high
75,1,4,0.25,moderately low
76,1,1,1.0,high
84,0,4,0.0,low
86,8,12,0.6666666666666666,moderately high
90,9,12,0.75,high
92,2,3,0.6666666666666666,moderately high
94,20,49,0.40816326530612246,moderately low
96,2,4,0.5,moderately high
99,3,6,0.5,moderately high
101,0,1,0.0,low
104,12,13,0.9230769230769231,high
108,2,4,0.5,moderately high
112,3,6,0.5,moderately high
114,9,17,0.5294117647058824,moderately high
115,17,21,0.8095238095238095,high
118,0,6,0.0,low
119,1,4,0.25,moderately low
120,1,2,0.5,moderately high
121,6,7,0.8571428571428571,high
126,5,22,0.22727272727272727,low
127,4,7,0.5714285714285714,moderately high
135,0,1,0.0,low
138,3,3,1.0,high
139,5,11,0.45454545454545453,moderately low
143,3,4,0.75,high
146,6,10,0.6,moderately high
154,23,30,0.7666666666666667,high
155,14,19,0.7368421052631579,moderately high
157,6,16,0.375,moderately low
159,0,3,0.0,low
165,3,3,1.0,high
167,11,19,0.5789473684210527,moderately high
169,6,11,0.5454545454545454,moderately high
172,0,4,0.0,low
175,1,1,1.0,high
177,4,20,0.2,low
178,0,1,0.0,low
179,2,5,0.4,moderately low
180,8,14,0.5714285714285714,moderately high
182,4,4,1.0,high
184,7,14,0.5,moderately high
186,0,1,0.0,low
187,2,5,0.4,moderately low
194,8,13,0.6153846153846154,moderately high
196,11,25,0.44,moderately low
198,1,7,0.14285714285714285,low
202,13,23,0.5652173913043478,moderately high
203,6,8,0.75,high
205,8,8,1.0,high
209,1,2,0.5,moderately high
213,0,5,0.0,low
214,0,2,0.0,low
216,1,2,0.5,moderately high
223,10,26,0.38461538461538464,moderately low
226,1,12,0.08333333333333333,low
227,2,4,0.5,moderately high
230,4,6,0.6666666666666666,moderately high
232,9,12,0.75,high
242,3,3,1.0,high
243,0,2,0.0,low
244,0,1,0.0,low
249,2,2,1.0,high
253,2,5,0.4,moderately low
257,0,6,0.0,low
263,1,3,0.3333333333333333,moderately low
264,3,11,0.2727272727272727,moderately low
267,0,1,0.0,low
268,0,1,0.0,low
271,7,24,0.2916666666666667,moderately low
273,7,22,0.3181818181818182,moderately low
274,0,2,0.0,low
275,2,13,0.15384615384615385,low
276,0,2,0.0,low
279,1,3,0.3333333333333333,moderately low
281,4,5,0.8,high
283,7,13,0.5384615384615384,moderately high
286,12,17,0.7058823529411765,moderately high
287,8,10,0.8,high
291,6,14,0.42857142857142855,moderately low
297,0,1,0.0,low
298,2,5,0.4,moderately low
299,2,4,0.5,moderately high
300,3,7,0.42857142857142855,moderately low
303,0,8,0.0,low
305,1,11,0.09090909090909091,low
306,4,6,0.6666666666666666,moderately high
308,1,2,0.5,moderately high
309,2,6,0.3333333333333333,moderately low
311,0,3,0.0,low
313,3,3,1.0,high
315,2,13,0.15384615384615385,low
316,0,5,0.0,low
317,10,20,0.5,moderately high
319,9,14,0.6428571428571429,moderately high
322,1,4,0.25,moderately low
324,5,15,0.3333333333333333,moderately low
330,0,1,0.0,low
337,2,2,1.0,high
339,11,16,0.6875,moderately high
340,9,13,0.6923076923076923,moderately high
344,9,12,0.75,high
346,0,2,0.0,low
347,1,2,0.5,moderately high
349,2,3,0.6666666666666666,moderately high
350,1,1,1.0,high
356,7,22,0.3181818181818182,moderately low
358,2,4,0.5,moderately high
359,2,3,0.6666666666666666,moderately high
362,4,7,0.5714285714285714,moderately high
364,25,36,0.6944444444444444,moderately high
368,2,7,0.2857142857142857,moderately low
370,13,36,0.3611111111111111,moderately low
373,2,3,0.6666666666666666,moderately high
374,1,3,0.3333333333333333,moderately low
376,3,4,0.75,high
377,2,4,0.5,moderately high
378,10,13,0.7692307692307693,high
379,1,3,0.3333333333333333,moderately low
380,2,3,0.6666666666666666,moderately high
381,3,5,0.6,moderately high
384,7,10,0.7,moderately high
385,4,9,0.4444444444444444,moderately low
386,0,1,0.0,low
387,0,5,0.0,low
390,0,1,0.0,low
393,3,7,0.42857142857142855,moderately low
396,1,5,0.2,low
397,11,16,0.6875,moderately high
398,2,7,0.2857142857142857,moderately low
403,2,6,0.3333333333333333,moderately low
405,6,8,0.75,high
410,0,3,0.0,low
411,9,18,0.5,moderately high
414,4,5,0.8,high
415,1,2,0.5,moderately high
421,1,1,1.0,high
422,0,2,0.0,low
430,1,1,1.0,high
432,7,10,0.7,moderately high
437,11,15,0.7333333333333333,moderately high
439,0,1,0.0,low
442,2,11,0.18181818181818182,low
445,0,1,0.0,low
446,4,5,0.8,high
450,1,5,0.2,low
451,6,20,0.3,moderately low
453,2,6,0.3333333333333333,moderately low
455,0,3,0.0,low
457,7,12,0.5833333333333334,moderately high
463,4,10,0.4,moderately low
468,0,1,0.0,low
469,11,29,0.3793103448275862,moderately low
