itemID,total_returns,total_orders,return_rate,item_return_category
1,32,74,0.4324,moderately low
2,8,16,0.5,moderately high
3,0,5,0.0,low
4,36,51,0.7059,moderately high
5,44,104,0.4231,moderately low
6,31,58,0.5345,moderately high
7,20,48,0.4167,moderately low
8,10,21,0.4762,moderately low
9,23,29,0.7931,high
10,1,1,1.0,high
11,0,1,0.0,low
12,2,4,0.5,moderately high
13,4,10,0.4,moderately low
14,43,63,0.6825,moderately high
15,10,26,0.3846,moderately low
17,50,90,0.5556,moderately high
18,1,1,1.0,high
19,3,9,0.3333,moderately low
20,6,39,0.1538,low
21,4,6,0.6667,moderately high
22,70,184,0.3804,moderately low
23,4,8,0.5,moderately high
24,2,4,0.5,moderately high
25,4,6,0.6667,moderately high
26,16,26,0.6154,moderately high
27,7,15,0.4667,moderately low
28,7,23,0.3043,moderately low
30,10,12,0.8333,high
31,1,9,0.1111,low
32,7,37,0.1892,low
33,3,24,0.125,low
34,0,4,0.0,low
35,11,16,0.6875,moderately high
36,8,31,0.2581,moderately low
37,31,47,0.6596,moderately high
39,62,81,0.7654,high
40,1,6,0.1667,low
41,25,41,0.6098,moderately high
42,52,87,0.5977,moderately high
43,19,28,0.6786,moderately high
45,39,74,0.527,moderately high
46,0,5,0.0,low
47,86,134,0.6418,moderately high
49,49,64,0.7656,high
50,6,10,0.6,moderately high
51,11,28,0.3929,moderately low
52,43,69,0.6232,moderately high
53,3,5,0.6,moderately high
54,0,1,0.0,low
55,4,14,0.2857,moderately low
57,122,437,0.2792,moderately low
58,6,13,0.4615,moderately low
59,41,174,0.2356,low
61,7,15,0.4667,moderately low
62,17,71,0.2394,low
63,6,12,0.5,moderately high
64,15,21,0.7143,moderately high
65,1,4,0.25,moderately low
66,0,4,0.0,low
67,102,133,0.7669,high
68,26,60,0.4333,moderately low
69,25,51,0.4902,moderately low
70,62,120,0.5167,moderately high
71,99,148,0.6689,moderately high
72,9,20,0.45,moderately low
73,17,36,0.4722,moderately low
74,9,18,0.5,moderately high
75,0,1,0.0,low
76,20,43,0.4651,moderately low
77,7,13,0.5385,moderately high
78,27,37,0.7297,moderately high
79,10,21,0.4762,moderately low
80,12,27,0.4444,moderately low
81,5,16,0.3125,moderately low
82,40,85,0.4706,moderately low
83,10,13,0.7692,high
84,6,21,0.2857,moderately low
85,5,8,0.625,moderately high
86,13,38,0.3421,moderately low
87,3,14,0.2143,low
88,11,54,0.2037,low
89,5,5,1.0,high
90,20,38,0.5263,moderately high
91,1,3,0.3333,moderately low
92,2,5,0.4,moderately low
93,22,41,0.5366,moderately high
